ID,survey_time,surv_t,feed,trip_purp,ac_st,mode,tt,tc,b1,b2,b3,b4,b5,c1,c2,c3,c4,trip_freq,gen_purp,age,gen,occ,month_inc,veh_own_car,veh_own_bike,veh_own_cyc,mrt_pass,bus_av,car_av,leg_av,rick_av,walk_av,bike_av,cng_av,car_dist,car_tt,car_cost,bus_dist,bus_tt,bus_cost,leg_dist,leg_tt,leg_cost,walk_dist,walk_tt,walk_cost,bike_dist,bike_tt,bike_cost,rick_dist,rick_tt,rick_cost,cng_dist,cng_tt,cng_cost
50,12:25:00 PM,2,1,4,6,6,25,35,0,0,0,0,0,0,0,0,0,5,1,40,0,5,80,1,0,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,2.7,12,41,3.2,33,10,2.7,17.6,18.5,2.5,34,0,2.7,12.7,61,2.5,20.2,55,2.7,14.7,130
51,12:37:00 PM,2,1,4,4,1,5,10,1,0,0,0,0,0,0,0,0,1,4,40,0,5,30,1,0,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0.9,5,14,0.6,8,10,0.9,5.9,10,0.6,8,0,0.9,4.2,34,0.6,4.8,25,0.9,4.9,100
52,12:48:00 PM,2,1,4,9,2,15,35,0,1,0,0,0,0,0,0,0,4,4,40,0,4,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.9,5,29,1.3,18,10,1.9,12.4,15,1.3,18,0,1.9,8.9,49,1.3,10.5,30,1.9,10.3,100
53,1:05:00 PM,3,1,3,1,6,15,10,0,0,0,0,0,0,0,0,0,4,6,20,0,4,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,3.8,10,57,3,41,10,3.8,24.8,24,3,41,0,3.8,17.9,77,3,24.2,60,3.8,20.7,154
54,2:30:00 PM,3,1,2,13,2,15,10,0,0,0,0,1,0,0,0,0,6,2,30,0,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.4,6,21,1,14,10,1.4,9.1,15,1,14,0,1.4,6.6,41,1,8.1,30,1.4,7.6,100
55,10:05:00 AM,1,1,2,2,2,45,75,0,0,0,0,1,0,0,1,0,1,2,20,1,1,5,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,17.7,36,266,17.2,90,40,17.7,115.3,93.5,15.3,210,0,17.7,83.3,286,15.3,123.6,260,17.7,96.3,571
56,1:12:00 PM,3,1,8,11,1,15,10,1,0,0,0,0,0,0,0,0,3,8,20,0,1,5,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,19.3,34,290,19.2,120,45,19.3,125.7,101.5,17.1,235,0,19.3,90.8,310,17.1,138.2,290,19.3,105,619
57,2:45:00 PM,3,1,2,12,7,15,35,0,0,0,0,0,0,0,0,0,6,2,20,0,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.5,3,8,0.5,7,10,0.5,3.3,10,0.5,7,0,0.5,2.4,28,0.5,4,20,0.5,2.7,100
58,1:19:00 PM,3,1,1,9,2,5,10,0,0,0,0,0,0,0,0,0,5,1,60,0,5,150,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.9,5,29,1.3,18,10,1.9,12.4,15,1.3,18,0,1.9,8.9,49,1.3,10.5,30,1.9,10.3,100
59,10:11:00 AM,1,1,2,4,7,15,75,0,0,0,0,1,0,1,0,0,5,2,20,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.9,5,14,0.6,8,10,0.9,5.9,10,0.6,8,0,0.9,4.2,34,0.6,4.8,25,0.9,4.9,100
